Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
86889718,10/6/2019 1:23,10/6/2019 2:28,70238,3862,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1035,Fifth Ave & S Dithridge St,Customer
87117964,10/9/2019 12:22,10/9/2019 12:30,70549,497,1009,12th St & Penn Ave,49661,Seventh Ave & Liberty Ave,Subscriber
87284409,10/11/2019 15:12,10/11/2019 15:13,70372,64,6666,Missing,1061,33rd St & Penn Ave,Customer
87284494,10/11/2019 15:14,10/11/2019 15:31,70372,1009,1061,33rd St & Penn Ave,1061,33rd St & Penn Ave,Customer
87288585,10/11/2019 16:36,10/11/2019 17:05,70092,1713,1046,S 25th St & E Carson St,,BIKE 70092,Customer
87289980,10/11/2019 17:07,10/11/2019 18:38,70092,5503,,BIKE 70092,49611,24th St & Smallman St,Customer
87555125,10/14/2019 16:01,10/14/2019 16:04,70526,170,,BIKE 70526,1050,Healthy Ride Hub,Customer
87598265,10/15/2019 7:45,10/15/2019 7:57,70657,705,,BIKE 70657,49311,Hamilton Ave & N Dallas Ave,Customer
87647462,10/15/2019 13:36,10/15/2019 13:40,70310,273,1009,12th St & Penn Ave,1056,Wood St & Sixth Ave,Subscriber
87659824,10/15/2019 17:09,10/16/2019 9:26,70310,58608,1056,Wood St & Sixth Ave,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
87663371,10/15/2019 21:06,10/15/2019 21:18,70629,751,1056,Wood St & Sixth Ave,1049,S 12th St & E Carson St,Customer
87744050,10/16/2019 17:29,10/16/2019 17:53,70255,1451,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1028,Penn Ave & Putnam St (Bakery Square),Subscriber
87832025,10/17/2019 15:55,10/17/2019 16:05,70244,596,1035,Fifth Ave & S Dithridge St,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Customer
87833425,10/17/2019 16:25,10/17/2019 19:22,70244,10629,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1048,S 18th St & Sidney St,Subscriber
87917545,10/18/2019 14:04,10/18/2019 14:26,70391,1321,,BIKE 70391,,BIKE 70391,Customer
87988182,10/19/2019 12:31,10/19/2019 12:50,70547,1104,1023,Liberty Ave & Baum Blvd,1001,Forbes Ave & Market Square,Customer
88367754,10/23/2019 19:06,10/23/2019 19:28,70011,1305,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1028,Penn Ave & Putnam St (Bakery Square),Subscriber
88454590,10/24/2019 17:55,10/24/2019 18:02,70246,421,1026,Penn Ave & S Whitfield St,1023,Liberty Ave & Baum Blvd,Subscriber
88684484,10/27/2019 17:03,10/27/2019 18:01,70369,3486,49661,Seventh Ave & Liberty Ave,49661,Seventh Ave & Liberty Ave,Customer
88741369,10/28/2019 12:26,10/28/2019 12:33,70078,419,49391,E Liberty Blvd & Negley Ave,1024,S Negley Ave & Baum Blvd,Subscriber
88756271,10/28/2019 18:51,10/28/2019 19:10,70136,1126,1026,Penn Ave & S Whitfield St,1018,Butler St & Stanton Ave,Subscriber
88791101,10/29/2019 8:54,10/29/2019 9:00,70136,345,1018,Butler St & Stanton Ave,1019,42nd St & Butler St,Subscriber
88819815,10/29/2019 14:49,10/29/2019 14:50,70078,108,1024,S Negley Ave & Baum Blvd,1024,S Negley Ave & Baum Blvd,Subscriber
88822655,10/29/2019 16:02,10/29/2019 19:34,70215,12667,,BIKE 70215,1001,Forbes Ave & Market Square,Customer
88824886,10/29/2019 17:19,10/29/2019 17:23,70029,245,1021,Taylor St & Liberty Ave,49501,Penn Ave & 39th St,Subscriber
88825289,10/29/2019 17:39,10/29/2019 17:50,70504,665,49401,Stanton Ave & N Negley Ave,1029,Alder St & S Highland Ave,Subscriber
88827341,10/29/2019 21:10,10/29/2019 21:34,70029,1471,49501,Penn Ave & 39th St,1051,Transit,Customer
88842732,10/30/2019 4:36,10/30/2019 4:54,70653,1082,49441,Roup Ave & Friendship Ave,1001,Forbes Ave & Market Square,Subscriber
88890535,10/30/2019 15:45,10/31/2019 10:00,70611,65709,6666,Missing,6666,Missing,Customer
88919162,10/31/2019 7:24,10/31/2019 7:33,70359,556,1015,Federal St & E North Ave,1001,Forbes Ave & Market Square,Subscriber
88956540,10/31/2019 17:52,10/31/2019 17:55,70255,154,49321,Bennett St & Eccrue Way,49341,Frankstown Ave & Eastview St,Subscriber
88995909,11/2/2019 0:05,11/2/2019 0:20,70504,882,1029,Alder St & S Highland Ave,1066,N Homewood Ave & Finance St (Homewood Station),Subscriber
