Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
131643000,10/21/2021 12:54,10/21/2021 13:06,70224,718,1035,Fifth Ave & S Dithridge St,1093,S Bouquet Ave & Sennott St,Subscriber
131643052,10/21/2021 12:55,10/21/2021 12:58,70613,218,1093,S Bouquet Ave & Sennott St,1094,O'Hara St & Desoto St,Subscriber
131643129,10/21/2021 12:55,10/21/2021 14:22,70550,5199,1072,Glasshouse,1072,Glasshouse,Customer
131643214,10/21/2021 12:56,10/21/2021 13:00,71228,224,1039,Atwood St & Bates St,1044,Zulema St & Coltart Ave,Subscriber
131643223,10/21/2021 12:56,10/21/2021 13:06,70902,566,1093,S Bouquet Ave & Sennott St,49301,Centre Ave & N Craig St,Subscriber
131643257,10/21/2021 12:57,10/21/2021 15:12,71196,8123,1001,Forbes Ave & Market Square,1017,21st St & Penn Ave,Subscriber
131643358,10/21/2021 12:58,10/21/2021 13:06,71173,507,,BIKE 71173,1097,Tennyson Ave & Fifth Ave,Subscriber
131643952,10/21/2021 13:04,10/21/2021 13:14,70554,579,1063,Penn Ave & N Atlantic Ave,49371,E Liberty Blvd & Larimer Ave,Customer
131644112,10/21/2021 13:06,10/21/2021 13:19,70568,748,1024,S Negley Ave & Baum Blvd,1028,Penn Ave & Putnam St (Bakery Square),Subscriber
131644151,10/21/2021 13:07,10/21/2021 13:15,70902,529,49301,Centre Ave & N Craig St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
131644299,10/21/2021 13:08,10/21/2021 13:25,71204,1006,,BIKE 71204,,BIKE 71204,Subscriber
131644700,10/21/2021 13:12,10/21/2021 14:58,70304,6338,1000,Liberty Ave & Stanwix St,,BIKE 70304,Subscriber
131644727,10/21/2021 13:12,10/21/2021 13:26,71173,843,1097,Tennyson Ave & Fifth Ave,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
131645081,10/21/2021 13:17,10/21/2021 13:19,70820,147,1093,S Bouquet Ave & Sennott St,1091,Semple St & Louisa St,Subscriber
131645111,10/21/2021 13:17,10/21/2021 14:01,70649,2615,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
131645291,10/21/2021 13:19,10/21/2021 13:25,70761,338,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),1039,Atwood St & Bates St,Subscriber
131645347,10/21/2021 13:20,10/21/2021 13:21,70689,80,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
131645441,10/21/2021 13:21,10/21/2021 13:34,70838,818,1034,Ellsworth Ave & N Neville St,1037,Frew St & Schenley Dr,Subscriber
131645653,10/21/2021 13:23,10/21/2021 13:58,70969,2105,49611,24th St & Smallman St,1045,S 27th St & Sidney St. (Southside Works),Customer
131645819,10/21/2021 13:24,10/21/2021 13:33,70936,540,1035,Fifth Ave & S Dithridge St,1033,Ivy St & Walnut St   ,Subscriber
131645980,10/21/2021 13:26,10/21/2021 14:15,71217,2942,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
131646047,10/21/2021 13:27,10/21/2021 13:36,70375,522,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1038,Boulevard of the Allies & Parkview Ave,Subscriber
131646277,10/21/2021 13:30,10/21/2021 13:37,71227,398,1094,O'Hara St & Desoto St,49301,Centre Ave & N Craig St,Subscriber
131646310,10/21/2021 13:30,10/21/2021 13:37,71198,416,1041,Fifth Ave & S Bouquet St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
131646342,10/21/2021 13:31,10/21/2021 13:37,70772,369,1041,Fifth Ave & S Bouquet St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
131646533,10/21/2021 13:33,10/21/2021 14:15,71195,2516,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
131646635,10/21/2021 13:34,10/21/2021 13:40,70997,337,1037,Frew St & Schenley Dr,1038,Boulevard of the Allies & Parkview Ave,Subscriber
