Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
42771206,4/1/2018 0:16,4/1/2018 0:54,70328,2290,,BIKE 70328,1041,Fifth Ave & S Bouquet St,Customer
42771339,4/1/2018 1:31,4/1/2018 9:49,70361,29916,1005,Forbes Ave & Grant St,1039,Atwood St & Bates St,Customer
42771340,4/1/2018 1:31,4/1/2018 1:48,70346,1054,1005,Forbes Ave & Grant St,1039,Atwood St & Bates St,Customer
42773146,4/1/2018 7:24,4/1/2018 7:28,70043,221,1047,S 22nd St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Subscriber
42773327,4/1/2018 7:47,4/1/2018 8:00,70420,779,1031,Maryland Ave & Ellsworth Ave,1020,42nd & Penn Ave.,Subscriber
42773849,4/1/2018 8:36,4/1/2018 13:30,70375,17628,1029,Alder St & S Highland Ave,1041,Fifth Ave & S Bouquet St,Customer
42774542,4/1/2018 9:41,4/1/2018 9:50,70238,512,1050,Healthy Ride Hub,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
42774739,4/1/2018 10:01,4/1/2018 10:05,70012,241,1039,Atwood St & Bates St,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
42775095,4/1/2018 10:39,4/1/2018 11:20,70135,2466,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
42775498,4/1/2018 11:26,4/1/2018 15:14,70393,13691,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Subscriber
42775536,4/1/2018 11:29,4/1/2018 12:34,70123,3927,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Subscriber
42775645,4/1/2018 11:42,4/1/2018 11:56,70045,870,1000,Liberty Ave & Stanwix St,,BIKE 70045,Customer
42775664,4/1/2018 11:43,4/1/2018 12:06,70500,1372,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1061,33rd St and Penn Ave,Customer
42775669,4/1/2018 11:43,4/1/2018 13:04,70139,4882,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1061,33rd St and Penn Ave,Customer
42775789,4/1/2018 11:53,4/1/2018 12:03,70231,605,1033,Ivy St & Walnut St   ,1032,Walnut St & College St,Subscriber
42775867,4/1/2018 12:00,4/1/2018 12:46,70045,2730,,BIKE 70045,1000,Liberty Ave & Stanwix St,Customer
42776006,4/1/2018 12:16,4/1/2018 12:31,70413,890,1043,S Millvale Ave & Centre Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
42776082,4/1/2018 12:23,4/1/2018 12:29,70043,327,1045,S 27th St & Sidney St. (Southside Works),1047,S 22nd St & E Carson St,Subscriber
42776110,4/1/2018 12:26,4/1/2018 13:06,70342,2406,1046,S 25th St & E Carson St,1025,Penn Ave & N Fairmount St,Subscriber
42776400,4/1/2018 12:54,4/1/2018 14:32,70392,5892,1032,Walnut St & College St,1012,North Shore Trail & Fort Duquesne Bridge,Customer
42776408,4/1/2018 12:54,4/1/2018 14:07,70354,4388,1000,Liberty Ave & Stanwix St,1011,Fort Duquesne Blvd & 7th St,Customer
42776416,4/1/2018 12:55,4/1/2018 14:08,70474,4364,1000,Liberty Ave & Stanwix St,1011,Fort Duquesne Blvd & 7th St,Customer
42776585,4/1/2018 13:12,4/1/2018 14:04,70085,3129,1008,Centre Ave & PPG Paints Arena,1008,Centre Ave & PPG Paints Arena,Customer
42776590,4/1/2018 13:12,4/1/2018 14:05,70276,3186,1008,Centre Ave & PPG Paints Arena,1008,Centre Ave & PPG Paints Arena,Customer
42776746,4/1/2018 13:27,4/1/2018 14:29,70152,3702,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
42776760,4/1/2018 13:28,4/1/2018 14:29,70130,3672,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
42776769,4/1/2018 13:28,4/1/2018 14:29,70210,3635,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
42776775,4/1/2018 13:28,4/1/2018 14:28,70166,3576,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
42776813,4/1/2018 13:31,4/1/2018 15:17,70385,6361,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
42776849,4/1/2018 13:35,4/1/2018 14:34,70163,3539,1006,Ross St & Sixth Ave (Steel Plaza T Station),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
42776858,4/1/2018 13:36,4/1/2018 14:35,70477,3533,1006,Ross St & Sixth Ave (Steel Plaza T Station),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
42776935,4/1/2018 13:43,4/1/2018 15:24,70367,6054,1030,S Euclid Ave & Centre Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
42776946,4/1/2018 13:43,4/1/2018 15:24,70046,6020,1030,S Euclid Ave & Centre Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Customer
42777058,4/1/2018 13:53,4/1/2018 19:56,70103,21801,1048,S 18th St & Sidney St,1048,S 18th St & Sidney St,Customer
42777066,4/1/2018 13:53,4/1/2018 13:58,70044,300,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),1021,Taylor St & Liberty Ave,Subscriber
42777109,4/1/2018 13:56,4/1/2018 14:13,70471,968,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
